prediction_horizon_hours,inclination_deg,eccentricity,mean_motion_rev_day,bstar,mean_motion_derivative,NORAD_CAT_ID,reliability_label,reliability
11.9758344,11.2167,0.00993058,1.00268129,0.0,8.6e-07,27168,1,Reliable
13.1982312,11.2173,0.00992255,1.00268449,0.0,8.7e-07,27168,1,Reliable
10.75407264,11.218,0.0099217,1.00268746,0.0,8.8e-07,27168,1,Reliable
13.71256896,11.2185,0.00992049,1.00269032,0.0,8.9e-07,27168,1,Reliable
10.23983256,11.2191,0.00991635,1.0026933,0.0,9e-07,27168,1,Reliable
23.95108584,11.22,0.00993391,1.00269593,0.0,9.1e-07,27168,1,Reliable
11.97614568,11.2211,0.00993172,1.00270128,0.0,9.3e-07,27168,1,Reliable
58.34970528,11.2216,0.00992943,1.00270369,0.0,9.4e-07,27168,1,Reliable
13.50482568,11.2244,0.00991977,1.0027152,0.0,9.6e-07,27168,1,Reliable
23.39897808,11.2249,0.00991509,1.00271756,0.0,9.7e-07,27168,1,Reliable
8.03569992,11.226,0.00990932,1.00272153,0.0,9.8e-07,27168,1,Reliable
16.4685084,11.2265,0.0098978,1.0027228,0.0,9.8e-07,27168,1,Reliable
11.97696384,11.2273,0.00989027,1.00272543,0.0,9.9e-07,27168,1,Reliable
13.46954808,11.2278,0.0098868,1.00272733,0.0,9.9e-07,27168,1,Reliable
10.48318608,11.2284,0.00988018,1.00272924,0.0,1e-06,27168,1,Reliable
11.9741136,11.2289,0.00987758,1.00273081,0.0,1e-06,27168,1,Reliable
10.60478568,11.2294,0.00987128,1.00273247,0.0,1.01e-06,27168,1,Reliable
13.347952800000002,11.2299,0.00986777,1.00273389,0.0,1.01e-06,27168,1,Reliable
22.24555224,11.2305,0.0098611,1.00273574,0.0,1.02e-06,27168,1,Reliable
1.70472696,11.2316,0.00985208,1.00273869,0.0,1.03e-06,27168,1,Reliable
11.97828264,11.2316,0.00985079,1.00273887,0.0,1.03e-06,27168,1,Reliable
11.97433224,11.2322,0.00984686,1.00274024,0.0,1.03e-06,27168,1,Reliable
11.16586248,11.2328,0.00984182,1.00274184,0.0,1.03e-06,27168,1,Reliable
11.077790879999998,11.2334,0.00983741,1.00274304,0.0,1.04e-06,27168,1,Reliable
2.1528756,11.234,0.00983401,1.00274455,0.0,1.04e-06,27168,1,Reliable
11.53200792,11.2341,0.00983304,1.00274477,0.0,1.04e-06,27168,1,Reliable
11.97630216,11.2347,0.00982902,1.00274595,0.0,1.04e-06,27168,1,Reliable
34.49437416,11.2353,0.00982528,1.00274756,0.0,1.03e-06,27168,1,Reliable
11.70190872,11.2372,0.00981533,1.00275142,0.0,1.01e-06,27168,1,Reliable
13.68348168,11.2378,0.009813,1.00275303,0.0,1e-06,27168,1,Reliable
