ID,Name,Type,TLE Line 1,TLE Line 2,Epoch
37418,FENGYUN 1C DEB,Debris,1 37418U 99025EGL 26246.28688742  .00000675  00000+0  16789-2 0  9993,2 37418  98.6020  55.1348 1073546 156.5750 208.8226 11.95446484526457,2026-09-03 06:53:07 UTC
29844,FENGYUN 1C DEB,Debris,1 29844U 99025EN  26248.31056550  .00000585  00000+0  19960-3 0  9994,2 29844  98.9217 162.7166 0167615 108.2125 253.7383 14.32693933 21589,2026-09-05 07:27:12 UTC
30077,FENGYUN 1C DEB,Debris,1 30077U 99025QE  26248.85985162  .00000058  00000+0  60037-4 0  9990,2 30077  98.7489 261.0348 0020584 230.2502 251.9120 14.07111868  8680,2026-09-05 20:38:11 UTC
29847,FENGYUN 1C DEB,Debris,1 29847U 99025ER  26248.45133578  .00000423  00000+0  29039-3 0  9997,2 29847  98.9173 243.8189 0084854  16.2160 137.7852 14.03166602  4768,2026-09-05 10:49:55 UTC
39585,COSMOS 2251 DEB,Debris,1 39585U 93036BUQ 26248.02432391  .00000316  00000+0  71513-4 0  9997,2 39585  74.0422 154.1535 0067286 208.7360 151.0093 14.59207571664040,2026-09-05 00:35:01 UTC
35243,FENGYUN 1C DEB,Debris,1 35243U 99025DRB 26248.76707913  .00012835  00000+0  10537-2 0  9990,2 35243  98.8770   6.5952 0052509 115.6022 245.0636 14.98281768949858,2026-09-05 18:24:35 UTC
37687,FENGYUN 1C DEB,Debris,1 37687U 99025ELC 26247.25989792  .00004091  00000+0  22646-2 0  9993,2 37687  98.1899 255.1252 0327660 345.2408  72.0859 13.87918845869344,2026-09-04 06:14:15 UTC
30915,FENGYUN 1C DEB,Debris,1 30915U 99025AZD 26248.67724105  .00001671  00000+0  69823-3 0  9992,2 30915  98.9319 335.0812 0053156 115.8784 244.7890 14.26780494  3030,2026-09-05 16:15:13 UTC
41011,FENGYUN 1C DEB,Debris,1 41011U 99025EXR 26245.43945762  .00000892  00000+0  15866-3 0  9998,2 41011  99.1357 315.6438 0303582 297.2291  59.8265 14.44552322609626,2026-09-02 10:32:49 UTC
31341,FENGYUN 1C DEB,Debris,1 31341U 99025BQV 26248.72732362  .00002197  00000+0  50589-3 0  9999,2 31341  99.5346 332.4120 0050404 272.4075 240.0416 14.55861540 15007,2026-09-05 17:27:20 UTC
33922,COSMOS 2251 DEB,Debris,1 33922U 93036EB  26248.42936020  .00000679  00000+0  18109-3 0  9991,2 33922  74.0488   7.3618 0022073  48.1685  19.1036 14.50229692924435,2026-09-05 10:18:16 UTC
37484,COSMOS 2251 DEB,Debris,1 37484U 93036BLM 26248.89003769  .00001090  00000+0  33110-3 0  9991,2 37484  73.8205  66.3583 0037896  50.8438  18.4445 14.42974273692315,2026-09-05 21:21:39 UTC
31041,FENGYUN 1C DEB,Debris,1 31041U 99025BEK 26248.59690637  .00001810  00000+0  84637-3 0  9991,2 31041  99.1920 292.1200 0083314 283.9369  75.2550 14.19844906992747,2026-09-05 14:19:32 UTC
30217,FENGYUN 1C DEB,Debris,1 30217U 99025WA  26248.67535833  .00000388  00000+0  16537-3 0  9993,2 30217  98.4585 227.5536 0139948  38.7072 322.4037 14.25186590 18736,2026-09-05 16:12:30 UTC
34022,COSMOS 2251 DEB,Debris,1 34022U 93036HH  26248.99627867  .00000217  00000+0  78197-4 0  9993,2 34022  74.0541 138.2053 0021828 142.5435 229.7185 14.39271663920402,2026-09-05 23:54:38 UTC
34576,COSMOS 2251 DEB,Debris,1 34576U 93036VN  26248.57704123  .00001304  00000+0  29680-3 0  9992,2 34576  74.0349 351.9536 0007343  49.5109 323.7787 14.56919649923512,2026-09-05 13:50:56 UTC
35848,IRIDIUM 33 DEB,Debris,1 35848U 97051SY  26248.31166811  .00005110  00000+0  60401-3 0  9999,2 35848  86.3833 255.5573 0007160  16.3823 343.7631 14.84458213706381,2026-09-05 07:28:48 UTC
31648,FENGYUN 1C DEB,Debris,1 31648U 99025CBE 26239.06547681  .00004820  00000+0  23632-2 0  9997,2 31648 102.7887 178.4560 0042372 261.3952  98.2405 14.18122629755421,2026-08-27 01:34:17 UTC
33894,COSMOS 2251 DEB,Debris,1 33894U 93036CX  26248.49919624  .00000980  00000+0  10218-2 0  9994,2 33894  73.7654 296.2160 0569276 177.9539 182.4088 13.21974098842327,2026-09-05 11:58:50 UTC
36148,FENGYUN 1C DEB,Debris,1 36148U 99025DRV 26241.80071814  .00001942  00000+0  12503-2 0  9999,2 36148  98.4167  71.9455 0277097 355.4528   4.4121 13.86978205938476,2026-08-29 19:13:02 UTC
29786,FENGYUN 1C DEB,Debris,1 29786U 99025CC  26248.62625546  .00000159  00000+0  11296-3 0  9991,2 29786  98.7246 262.5959 0076520 267.7183 219.8165 14.09232063  9182,2026-09-05 15:01:48 UTC
47001,FENGYUN 1C DEB,Debris,1 47001U 99025FAB 26247.47622286  .00001717  00000+0  54563-3 0  9996,2 47001  99.2882 332.8576 0049152 353.0468   7.0030 14.40702065777387,2026-09-04 11:25:45 UTC
30828,FENGYUN 1C DEB,Debris,1 30828U 99025AVN 26248.78239479  .00003276  00000+0  30017-3 0  9998,2 30828  98.3935  12.6139 0192459  43.0141 318.5934 14.82636595 25925,2026-09-05 18:46:38 UTC
